,Plate number,Well position,Line,Clone,Strain,Speed,Repeat,Invasion rate,Parasitemia,Hematocrit
182,85,H1,KOEBA175 C6,C6,KOEBA175,180-rpm,Repeat 2,40.03846153846154,0.104,4%
276,81,G9,3D7 8%,,3D7,180-rpm,Repeat 3,1.6254029658284979,1.551,8%
285,90,H6,KOEBA175 C6,C6,KOEBA175,180-rpm,Repeat 3,6.541978387364921,1.203,4%
294,1,A1,NF54 2%,,NF54,Static,Repeat 4,3.1275261324041814,1.435,2%
295,2,A2,NF54 8%,,NF54,Static,Repeat 4,1.535294117647059,1.02,8%
298,5,A5,NF54 8%,,NF54,Static,Repeat 4,4.513602638087386,1.213,8%
352,59,E11,3D7 4%,,3D7,90-rpm,Repeat 4,2.088874680306905,1.564,4%
373,80,G8,NF54 8%,,NF54,180-rpm,Repeat 4,6.342905405405405,1.776,8%
383,90,H6,KOEBA175 C6,C6,KOEBA175,180-rpm,Repeat 4,6.937101185050137,1.097,4%
393,2,A2,NF54 8%,,NF54,Static,Repeat 5,1.3919156414762743,1.138,8%
413,22,B10,KOEBA175 3D7,,KOEBA175,Static,Repeat 5,4.365092748735244,1.186,4%
464,73,G1,3D7 4%,,3D7,45-rpm,Repeat 5,5.147368421052632,1.14,4%
483,92,H8,3D7 8%,,3D7,Static,Repeat 5,1.5549958018471872,1.191,8%
491,2,A2,NF54 8%,,NF54,Static,Repeat 6,1.3695518723143032,1.629,8%
493,4,A4,NF54 2%,,NF54,Static,Repeat 6,1.4142379359770665,2.093,2%
495,6,A6,3D7 8%,,3D7,Static,Repeat 6,1.6889952153110048,1.045,8%
496,7,A7,NF54 4%,,NF54,Static,Repeat 6,2.578483245149912,1.134,4%
497,8,A8,NF54 C2,C2,NF54,Static,Repeat 6,2.8480801335559267,1.198,4%
503,14,B2,KOEBA175 3D7,,KOEBA175,Static,Repeat 6,3.0882936507936507,1.008,4%
504,15,B3,NF54 4%,,NF54,Static,Repeat 6,2.844389844389844,1.221,4%
511,22,B10,KOEBA175 3D7,,KOEBA175,Static,Repeat 6,3.1732851985559565,1.108,4%
520,31,C7,NF54 2%,,NF54,90-rpm,Repeat 6,27.878260869565217,0.23,2%
522,33,C9,3D7 2%,,3D7,90-rpm,Repeat 6,0.07853921460785393,9.091,2%
551,62,F2,NF54 8%,,NF54,45-rpm,Repeat 6,1.4293745607870694,1.423,8%
553,64,F4,NF54 2%,,NF54,45-rpm,Repeat 6,1.2858990944372575,1.546,2%
555,66,F6,3D7 8%,,3D7,45-rpm,Repeat 6,1.7831010452961675,1.148,8%
563,74,G2,NF54 4%,,NF54,45-rpm,Repeat 6,5.153,1.0,4%
572,83,G11,KOEBA175 C6,C6,KOEBA175,180-rpm,Repeat 6,3.0817422434367545,1.676,4%
574,85,H1,KOEBA175 C6,C6,KOEBA175,180-rpm,Repeat 6,0.0,1.655,4%
581,92,H8,3D7 8%,,3D7,Static,Repeat 6,1.1791867677463819,1.451,8%
585,96,H12,3D7 8%,,3D7,45-rpm,Repeat 6,2.297348484848485,1.056,8%
