,Plate number,Well position,Line,Clone,Strain,Speed,Plate,Repeat,Invasion rate,Parasitemia
138,43,D7,NF54,,NF54,90-rpm,50ml flask,Repeat 2,5.756058158319871,1.238
307,20,B8,NF54,,NF54,Static,50ml flask,Repeat 4,4.531933508311461,1.143
308,21,B9,NF54,,NF54,Static,50ml flask,Repeat 4,4.80765456329735,1.019
318,31,C7,NF54,,NF54,90-rpm,24-well,Repeat 4,1.698007153806847,1.957
319,32,C8,Dd2,,Dd2,90-rpm,24-well,Repeat 4,0.8794658342004855,5.766
320,33,C9,NF54,,NF54,90-rpm,24-well,Repeat 4,1.2470427661510466,2.198
321,34,C10,Dd2,,Dd2,90-rpm,24-well,Repeat 4,0.9051638530287985,6.042
322,35,C11,NF54,,NF54,90-rpm,24-well,Repeat 4,2.1184135977337113,1.765
323,36,C12,Dd2,,Dd2,90-rpm,24-well,Repeat 4,0.8160029958806642,8.011
324,37,D1,NF54,,NF54,90-rpm,96-well,Repeat 4,0.5443037974683544,4.582
325,38,D2,Dd2,,Dd2,90-rpm,96-well,Repeat 4,0.6740977615349475,10.945
326,39,D3,NF54,,NF54,90-rpm,96-well,Repeat 4,1.0117000955109838,4.188
327,40,D4,Dd2,,Dd2,90-rpm,96-well,Repeat 4,0.6895466614219686,10.169
328,41,D5,NF54,,NF54,90-rpm,96-well,Repeat 4,0.7220421393841168,6.17
329,42,D6,Dd2,,Dd2,90-rpm,96-well,Repeat 4,0.8619714223543918,13.787
330,43,D7,NF54,,NF54,90-rpm,50ml flask,Repeat 4,6.462015503875969,1.935
331,44,D8,NF54,,NF54,90-rpm,50ml flask,Repeat 4,7.226885245901641,1.525
333,46,D10,Dd2,,Dd2,90-rpm,50ml flask,Repeat 4,5.358326068003487,2.294
350,63,F3,NF54,,NF54,45-rpm,96-well,Repeat 4,5.085106382978723,1.034
360,73,G1,NF54,,NF54,180-rpm,6-well,Repeat 4,6.46791707798618,1.013
363,76,G4,Dd2,,Dd2,180-rpm,6-well,Repeat 4,4.419901199717713,1.417
364,77,G5,NF54,,NF54,180-rpm,6-well,Repeat 4,6.308724832214765,1.043
381,94,H10,Dd2,,Dd2,180-rpm,50ml flask,Repeat 4,1.779433139534884,5.504
382,95,H11,Dd2,,Dd2,180-rpm,50ml flask,Repeat 4,1.9477561955793703,1.493
383,96,H12,Dd2,,Dd2,180-rpm,50ml flask,Repeat 4,2.100062344139651,3.208
405,22,B10,Dd2,,Dd2,Static,50ml flask,Repeat 5,5.552949538024165,1.407
409,26,C2,Dd2,,Dd2,90-rpm,6-well,Repeat 5,1.5787401574803148,1.778
411,28,C4,Dd2,,Dd2,90-rpm,6-well,Repeat 5,3.0139165009940356,1.006
413,30,C6,Dd2,,Dd2,90-rpm,6-well,Repeat 5,1.5621921182266008,1.624
