Cylcle,Condition,Strain,Rep 1,Rep 2,Rep 3,Mean,SD
1,Static,Barseq ,4.705882353,4.552112676,4.754874652,4.67095656,0.061081811
1,Static,KOEBA140 C3 ,3.911062907,4.41025641,4.07311828,4.131479199,0.147029516
1,Static,KORH4 C1,4.315098468,3.823770492,5.1796875,4.43951882,0.396332374
1,Static,KOPfs25 C3,0,5.047318612,4.852941176,3.300086596,1.650997103
1,Static,KOEBA181 C1,4.447795824,3.485822306,3.816733068,3.916783733,0.282167718
1,Static,KOEBA175 C6,8.18630137,7.527980535,7.487804878,7.734028928,0.226433428
1,Static,KORH2a C1,4.564738292,4.528571429,4.565749235,4.553019652,0.012227595
1,Static,KOP230P C5 ,2.988593156,3.809980806,4.496487119,3.76502036,0.435871591
1,Static,KORh2a C3,5.055718475,3.090497738,4.093333333,4.079849849,0.567350418
1,Static,KORH1 C1,1.965217391,1.952830189,1.794871795,1.904306458,0.054834052
1,Static,KOPfs25 C1,4.888040712,3.977876106,4.171428571,4.345781797,0.276826774
1,Static,KOEBA140 C4 ,4.799465241,4.613989637,4.967065868,4.793506915,0.101967858
1,Static,KOEBA181 C2,4.808247423,4.053956835,4.372262774,4.41148901,0.218626467
1,Static,KOP230P C3 ,3.649038462,3.854805726,3.033472803,3.512438997,0.246739743
1,Static,NF54 ,4.522796353,3.114832536,3.83106267,3.822897186,0.406464649
2,Static,Barseq ,7.472527473,8.156779661,7.460144928,7.69648402,0.230175578
2,Static,KOEBA140 C3 ,6.199261993,5.233516484,5.312883436,5.581887304,0.309536432
2,Static,KORH4 C1,5.621333333,5.32166302,5.463888889,5.468961747,0.086544545
2,Static,KOPfs25 C3,5.806153846,6.917491749,6.204268293,6.309304629,0.325085864
2,Static,KOEBA181 C1,5.748677249,6.231607629,5.93556701,5.971950629,0.14059192
2,Static,KOEBA175 C6,13.2539185,10.25974026,12.36052632,11.95806169,0.887460639
2,Static,KORH2a C1,6.054313099,6.282608696,5.976430976,6.104450924,0.091872285
2,Static,KOP230P C5 ,6.605769231,5.054794521,5.676056338,5.778873363,0.450669555
2,Static,KORh2a C3,4.96,5.828244275,4.940828402,5.243024226,0.292662358
2,Static,KORH1 C1,5.565217391,4.93877551,4.551724138,5.018572346,0.295278284
2,Static,KOPfs25 C1,6.54723127,6.569364162,6.909090909,6.67522878,0.11710549
2,Static,KOEBA140 C4 ,5.216617211,6.336,5.836734694,5.796450635,0.323765121
2,Static,KOEBA181 C2,6.375328084,5.612284069,5.5995671,5.862393084,0.256493772
2,Static,KOP230P C3 ,6.147540984,5.401515152,4.643617021,5.397557719,0.434149961
2,Static,NF54 ,5.413127413,5.164658635,4.47133758,5.016374542,0.281799664
3,Static,Barseq ,8.263157895,7.156822811,7.709821429,7.709934045,0.319371434
3,Static,KOEBA140 C3 ,6.393877551,6.200396825,5.703703704,6.099326027,0.205545181
3,Static,KORH4 C1,5.677966102,5.330827068,5.864312268,5.624368479,0.156318205
3,Static,KOPfs25 C3,6.633943428,5.827079935,6.235067437,6.232030267,0.232926378
3,Static,KOEBA181 C1,6.487046632,5.358558559,7.62628866,6.490631283,0.654639746
3,Static,KOEBA175 C6,12.01355014,11.26422764,11.6509009,11.64289289,0.216347826
3,Static,KORH2a C1,6.426070039,6.437362637,6.843137255,6.568856644,0.137179045
3,Static,KOP230P C5 ,4.569688769,4.128664495,4.955357143,4.551236802,0.238823882
3,Static,KORh2a C3,5.913793103,5.44893617,4.010600707,5.124443327,0.572860375
3,Static,KORH1 C1,4.487951807,5.277108434,4.325259516,4.696773252,0.293943808
3,Static,KOPfs25 C1,6.161983471,6.196078431,6.676416819,6.34482624,0.166087176
3,Static,KOEBA140 C4 ,7.841607565,5.79316888,5.394197952,6.342991466,0.758107756
3,Static,KOEBA181 C2,6.973933649,5.894117647,6.495327103,6.454459466,0.312385058
3,Static,KOP230P C3 ,4.341176471,5.099264706,5.966315789,5.135585655,0.469488679
3,Static,NF54 ,4.832627119,4.093306288,4.897058824,4.607664077,0.257850611
4,Static,Barseq ,5.175539568,7.541666667,10.06652807,7.594578101,1.412154599
4,Static,KOEBA140 C3 ,4.879839786,7.716504854,7.652892562,6.749745734,0.935133292
4,Static,KORH4 C1,5.325227964,4.919786096,5.452727273,5.232580444,0.160669689
4,Static,KOPfs25 C3,7.005825243,4.850815851,5.738317757,5.864986284,0.62531327
4,Static,KOEBA181 C1,4.826758148,5.554285714,7.334702259,5.905248707,0.744944558
4,Static,KOEBA175 C6,9.804,7.995833333,8.812312312,8.870715215,0.522788947
4,Static,KORH2a C1,5.70862069,5.129323308,5.209742896,5.349228965,0.181189253
4,Static,KOP230P C5 ,3.9968,3.973913043,3.666997027,3.87923669,0.106325301
4,Static,KORh2a C3,5.32761578,4.362515413,3.714576962,4.468236052,0.468634967
4,Static,KORH1 C1,3.945266272,5.252427184,3.256916996,4.151536818,0.585213887
4,Static,KOPfs25 C1,6.010118044,5.87804878,5.898507463,5.928891429,0.041040474
4,Static,KOEBA140 C4 ,6.057057057,5.320962889,7.287625418,6.221881788,0.573676962
4,Static,KOEBA181 C2,5.731751825,4.779548473,5.990530303,5.5006102,0.368188849
4,Static,KOP230P C3 ,4.106508876,3.80372807,4.277363184,4.062533377,0.138483379
4,Static,NF54 ,4.806188925,3.521266073,5.180487805,4.502647601,0.502446412
5,Static,Barseq ,6.078328982,10.384,10.13043478,8.864254588,1.394884696
5,Static,KOEBA140 C3 ,8.179190751,9.917525773,11.11481481,9.737177113,0.85222579
5,Static,KORH4 C1,3.932405567,5.347181009,5.584962406,4.954849661,0.515809701
5,Static,KOPfs25 C3,8.816129032,5.361305361,5.950124688,6.709186361,1.067096156
5,Static,KOEBA181 C1,4.52916074,3.84498094,5.429280397,4.601140692,0.458761749
5,Static,KOEBA175 C6,9.241622575,17.56571429,11.3960396,12.73445882,2.49440375
5,Static,KORH2a C1,0,4.808695652,5.278461538,3.36238573,1.686653328
5,Static,KOP230P C5 ,2.723136496,3.379061372,4.725490196,3.609229355,0.589374827
5,Static,KORh2a C3,5.114331723,4.298214286,4.417832168,4.610126059,0.254456691
5,Static,KORH1 C1,3.177489177,4.591346154,4.639691715,4.136175682,0.479546377
5,Static,KOPfs25 C1,6.633251834,4.931283906,6.09280303,5.88577959,0.502101496
5,Static,KOEBA140 C4 ,8.58436214,8.805369128,7.941176471,8.443635913,0.259204
5,Static,KOEBA181 C2,3.898428053,4.191756272,5.787401575,4.625861967,0.586910288
5,Static,KOP230P C3 ,3.748898678,4.604422604,4.778561354,4.377294212,0.318193749
5,Static,NF54 ,4.556318681,4.28988764,5.657963446,4.834723256,0.418744028
6,Static,Barseq ,6.810285714,9.415971395,7.900406504,8.042221204,0.755531385
6,Static,KOEBA140 C3 ,6.467202142,7.315352697,5.894117647,6.558890829,0.412828608
6,Static,KORH4 C1,4.277364506,4.686528497,6.602230483,5.188707829,0.716563213
6,Static,KOPfs25 C3,5.184848485,5.294438386,5.590846047,5.356710973,0.121266801
6,Static,KOEBA181 C1,3.331953642,3.495378928,3.895687061,3.574339877,0.167456428
6,Static,KOEBA175 C6,11.39123103,9.101167315,11.67371202,10.72203679,0.814526911
6,Static,KORH2a C1,0,4.162032598,4.869306931,3.01044651,1.519007394
6,Static,KOP230P C5 ,2.32112274,3.233243968,3.531835206,3.028733971,0.364154007
6,Static,KORh2a C3,3.974221267,4.855365474,3.566699124,4.132095288,0.38028866
6,Static,KORH1 C1,,4.083710407,3.144534779,3.614122593,0.469587814
6,Static,KOPfs25 C1,5.304106548,5.227772228,5.848787447,5.460222074,0.19552836
6,Static,KOEBA140 C4 ,6.541446208,6.370772947,7.971524288,6.961247814,0.507535304
6,Static,KOEBA181 C2,3.668803419,3.298533218,3.813333333,3.593556657,0.153298561
6,Static,KOP230P C3 ,3.257497415,3.369346734,4.366522367,3.664455505,0.352515237
6,Static,NF54 ,4.555555556,3.959446093,5.549525102,4.688175583,0.463781151
7,Static,Barseq ,6.189189189,4.826359833,6.691176471,5.902241831,0.557117391
7,Static,KOEBA140 C3 ,5.328018223,4.89,6.37195122,5.529989814,0.439560101
